onset	duration	trial_type	response_accuracy	response_time	response_hand
12.0347	6	active_change	correct	1.4228999999999985	right
24.0511	6	active_change	incorrect	1.4620999999999995	left
30.0593	6	active_nochange	incorrect	1.2597999999999985	right
40.0757	6	passive	n/a	1.4961000000000055	left
46.0839	6	active_change	correct	1.3337000000000003	right
56.1004	6	active_nochange	correct	1.2299000000000007	left
64.1168	6	active_change	correct	1.2523000000000053	right
70.125	6	active_nochange	correct	1.3418999999999954	left
76.1332	6	active_change	correct	1.356499999999997	right
82.1414	6	active_change	correct	1.3610999999999933	right
90.1579	6	active_nochange	incorrect	1.943399999999997	right
96.1661	6	active_nochange	incorrect	1.2680000000000007	right
104.1826	6	active_nochange	incorrect	1.4953000000000003	right
110.1907	6	passive	miss	n/a	right
116.1989	6	active_change	incorrect	1.7656000000000063	left
122.2071	6	active_nochange	correct	1.3423000000000087	left
130.2236	6	passive	n/a	1.3245000000000005	right
138.2401	6	active_nochange	correct	1.2527999999999793	left
144.2483	6	active_nochange	incorrect	1.3814000000000135	right
154.2647	6	active_nochange	incorrect	1.8477000000000032	right
160.2729	6	passive	n/a	1.372399999999999	left
166.2811	6	passive	n/a	1.3959999999999866	left
176.2975	6	active_change	correct	1.245299999999986	right
184.314	6	active_change	correct	1.1735000000000184	right
192.3305	6	active_nochange	correct	1.2187999999999874	left
198.3386	6	active_change	incorrect	1.7545999999999822	left
208.3551	6	passive	n/a	1.5968000000000018	left
214.3633	6	active_nochange	correct	1.051400000000001	left
220.3715	6	active_change	correct	1.2059999999999889	right
226.3796	6	active_change	correct	1.2506999999999948	right
232.3878	6	active_nochange	correct	1.2423000000000002	left
242.4043	6	active_change	correct	1.4904999999999973	right
248.4125	6	active_change	correct	1.3071999999999946	right
256.4289	6	active_change	correct	1.3374999999999773	right
262.4371	6	active_change	correct	1.806100000000015	right
268.4453	6	active_nochange	correct	1.300800000000038	left
276.4618	6	passive	n/a	1.5850000000000364	left
284.4783	6	passive	n/a	1.2393000000000143	right
300.4946	6	active_nochange	incorrect	1.2726000000000113	right
306.5027	6	active_nochange	incorrect	1.5113000000000056	right
